id,model_id,tag_type,tag_alias,tag,min_val,max_val,avg_exception,nan_exception,stuck_exception
13043,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13044,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13045,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13046,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
13047,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
13048,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
13049,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
13050,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
13051,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
13052,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
13053,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
13054,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
13055,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
13056,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
13057,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
13058,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
13059,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
13060,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
13061,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
13062,1,pi_tag,a_train_pass_4_feed,292FC14,,,,,
13063,1,pi_tag,heate,292FY2452.PV,,6.0,,,
13064,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13065,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13066,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
13067,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
13068,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
13069,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13070,1,pi_tag,a_train_pass_4_feed,292FC1404.PV,,,,,
13071,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
13072,1,pi_tag,heater_total_chrg,292FY2452.PV,,,,,
13073,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
13074,1,pi_tag,f1_pass_1_outlet_temp,292TC1701.PV,,,True,,
13075,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
13076,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
13077,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
13078,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
13079,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
13080,1,pi_tag,f1_hffghfffg,292TC1701.PV,,,True,,
13081,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
13082,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
13083,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
13084,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
13085,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
13086,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
13087,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
13088,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
13089,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
13090,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
13091,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
13092,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
13093,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
13094,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
13095,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
13096,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
13097,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13098,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13099,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
13100,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13101,1,pi_tag,a_train_pass_4_feed,292FC1404.PV,,,,,
13102,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
13103,1,pi_tag,heater_total_chrg,292FY2452.PV,,,,,
13104,1,pi_tag,f1_pass_1_outlet_temp,292TC1701.PV,,,True,,
13105,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
13106,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
13107,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
13108,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
13109,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
13110,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
13111,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
13112,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
13113,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
13114,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
13115,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
13116,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
13117,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
13118,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
13119,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
13120,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
13121,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
13122,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
13123,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
13124,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13125,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13126,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13127,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
13128,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
13129,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
13130,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
13131,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
13132,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
13133,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
13134,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
13135,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
13136,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
13137,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
13138,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
13139,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
13140,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
13141,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
13142,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
13143,1,pi_tag,a_train_pass_4_feed,292FC14,,,,,
13144,1,pi_tag,heate,292FY2452.PV,,6.0,,,
13145,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13146,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13147,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
13148,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
13149,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
13150,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13151,1,pi_tag,a_train_pass_4_feed,292FC1404.PV,,,,,
13152,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
13153,1,pi_tag,heater_total_chrg,292FY2452.PV,,,,,
13154,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
13155,1,pi_tag,f1_pass_1_outlet_temp,292TC1701.PV,,,True,,
13156,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
13157,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
13158,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
13159,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
13160,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
13161,1,pi_tag,f1_hffghfffg,292TC1701.PV,,,True,,
13162,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
13163,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
13164,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
13165,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
13166,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
13167,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
13168,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
13169,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
13170,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
13171,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
13172,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
13173,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
13174,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
13175,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
13176,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
13177,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
13178,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13179,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13180,1,pi_tag,a_train_pass_2_feed,292FC1402.PV,,,,,
13181,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13182,1,pi_tag,a_train_pass_4_feed,292FC1404.PV,,,,,
13183,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
13184,1,pi_tag,heater_total_chrg,292FY2452.PV,,,,,
13185,1,pi_tag,f1_pass_1_outlet_temp,292TC1701.PV,,,True,,
13186,1,pi_tag,f1_cell_1_radiant_temp_b,292TI1808.PV,,,True,,
13187,1,pi_tag,f1_cell_1_stack_temp,292TI1881.PV,,,,True,
13188,1,pi_tag,f1_cell_1_west_stack_o2,292AI1305A.PV,,,True,,True
13189,1,pi_tag,f1_cell_1_east_stack_o2,292AI1306A.PV,,,,,
13190,1,calc_tag,bfw/feed_f1p1,{a_train_pass_1_bfw}/{a_train_pass_1_feed},,,,,
13191,1,calc_tag,bfw/feed_f1p2,{a_train_pass_2_bfw}/{a_train_pass_2_feed},,,,,
13192,1,calc_tag,bfw/feed_f1p3,{a_train_pass_3_bfw}/{a_train_pass_3_feed},,,,,
13193,1,calc_tag,bfw/feed_f1p4,{a_train_pass_4_bfw}/{a_train_pass_4_feed},,,,,
13194,1,calc_tag,bfw/feed_f2p1,{b_train_pass_1_bfw}/{b_train_pass_1_feed},,,,,
13195,1,calc_tag,bfw/feed_f2p2,{b_train_pass_2_bfw}/{b_train_pass_2_feed},,,,,
13196,1,calc_tag,bfw/feed_f2p3,{b_train_pass_3_bfw}/{b_train_pass_3_feed},,,,,
13197,1,calc_tag,bfw/feed_f2p4,{b_train_pass_4_bfw}/{b_train_pass_4_feed},,,,,
13198,1,calc_tag,firedduty/feed_f1p1,({fg_ghv}*{f1_pass_1_fg_flow})/({a_train_pass_1_feed}*10000),,,,,
13199,1,calc_tag,firedduty/feed_f1p2,({fg_ghv}*{f1_pass_2_fg_flow})/({a_train_pass_2_feed}*10000),,,,True,
13200,1,pi_tag,f2_cell_1_stack_temp_b,292TI2705B.PV,5.0,13.0,False,True,True
13201,1,pi_tag,f1_cell_1_radiant_temp_a,292TI1807.PV,2.0,10.0,True,False,True
13202,1,pi_tag,f2_cell_1_stack_temp_a,292TI2705A.PV,8.0,18.0,True,True,True
13203,1,pi_tag,f1_cell_2_radiant_temp_a,292TI1847.PV,12.0,18.0,False,False,False
13204,1,pi_tag,f2_cell_1_radiant_temp_a,292TI2807.PV,1.0,2.0,False,True,False
13205,1,pi_tag,f2_cell_2_radiant_temp_a,292TI2847.PV,,,,True,
13206,1,pi_tag,a_train_pass_1_feed,292FC1401.PV,,,,True,True
13207,1,pi_tag,a_train_pass_3_feed,292FC1403.PV,,,True,,
13208,1,pi_tag,heater_1_total_chrg,292FY1451.PV,,,,True,
